Safari portal pages to build,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Transfer pages,,,,,,,,,,,,https://account.safariportal.app/acc/1594060708398499298/content-library/page/10891121/landing,,,
,,,,,,,,,,,,,,,
Pages needed:,From Area,To Area,Segment,Mode of transport,Name (RI_AreaStart_AreaEnd_Segment),General intro text,In Safari Portal,Link,Added when,Checked by Gerco (when),Note,From Station,To Station,UPDATE,
31,Naoshima,Osaka,Normal,"1. Ferry Naoshima → Uno
2. Local train Uno → Okayama
3. Shinkansen Okayama → Shin-Osaka",Transfer Naoshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-OsakaNaoshimaOsakaNormal?id=12111839&type=agent,05/18,,,Naoshima (Miyanoura Port),Shin-Osaka Station,,
32,Naoshima,Osaka,High,"1. Ferry Naoshima → Uno
2. Taxi Uno → Okayama
3. Shinkansen (Green Class) Okayama → Shin-Osaka
4. Private transfer to Hotel",Transfer Naoshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-OsakaNaoshimaOsakaHigh?id=12111864&type=agent,05/18,,,Naoshima (Miyanoura Port),Shin-Osaka Station,,
33,Tokyo,Kawaguchiko,Normal,1. Limited Express Fuji Excursion Shinjuku → Kawaguchiko,Transfer Tokyo to Kawaguchiko,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-KawaguchikoTokyoKawaguchikoNormal?id=12111913&type=agent,05/18,,,Shinjuku Station,Kawaguchiko Station,,
34,Tokyo,Kawaguchiko,High,"1. Private transfer to Shinjuku Station
2. Limited Express Fuji Excursion (Reserved seats)
3. Taxi Kawaguchiko Station → Hotel",Transfer Tokyo to Kawaguchiko,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-KawaguchikoTokyoKawaguchikoHigh?id=12111972&type=agent,05/18,,,Shinjuku Station,Kawaguchiko Station,,
35,Kawaguchiko,Tokyo,Normal,1. Limited Express Fuji Excursion Kawaguchiko → Shinjuku,Transfer Kawaguchiko to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kawaguchiko-to-TokyoKawaguchikoTokyoNormal?id=12111999&type=agent,05/18,,,Kawaguchiko Station,Shinjuku Station,,
36,Kawaguchiko,Tokyo,High,"1. Taxi Hotel → Kawaguchiko Station
2. Limited Express Fuji Excursion (Reserved seats)
3. Private transfer Shinjuku Station → Hotel",Transfer Kawaguchiko to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kawaguchiko-to-TokyoKawaguchikoTokyoHigh?id=12112014&type=agent,05/18,,,Kawaguchiko Station,Shinjuku Station,,
37,Kanazawa,Takayama,Normal,1. Nohi Bus Kanazawa → Takayama,Transfer Kanzawa to Takayama,,YES,https://travel.safariportal.app/Transfer-Kanazawa-to-TakayamaKanazawaTakayamaNormal?id=12112207&type=agent,05/18,,,Kanazawa Station,Takayama Station,,
38,Kanazawa,Takayama,High,1. Private transfer Kanazawa → Takayama,Transfer Kanzawa to Takayama,,YES,https://travel.safariportal.app/Transfer-Kanazawa-to-TakayamaKanazawaTakayamaHigh?id=12112233&type=agent,05/18,,,Kanazawa Station,Takayama Station,,
39,Takayama,Kanazawa,Normal,1. Nohi Bus Takayama → Kanazawa,Transfer Takayama to Kanazawa,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KanazawaTakayamaKanazawaNormal?id=12112268&type=agent,05/18,,,Takayama Station,Kanazawa Station,,
40,Takayama,Kanazawa,High,1. Private transfer Takayama → Kanazawa,Transfer Takayama to Kanazawa,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KanazawaTakayamaKanazawaHigh?id=12112287&type=agent,05/18,,,Takayama Station,Kanazawa Station,,
